count_state,risp,succ,n
3-2,False,0.497929942769006,49274
3-1,False,0.49946484439321587,24292
3-2,True,0.5034800601956358,21264
3-0,False,0.5040737387869311,12151
3-0,True,0.5139617532577424,5909
3-1,True,0.5151351836881344,11133
2-0,False,0.5167906964338108,37491
0-2,False,0.5182131098473511,66820
2-1,False,0.5189735668901604,56974
0-2,True,0.519478206669338,22461
1-0,True,0.519936851601263,44340
2-2,False,0.5200898311593106,85939
0-0,True,0.522732205931685,101354
2-2,True,0.5232651126973314,33763
2-0,True,0.5235984666986104,16696
1-2,False,0.5243945278195196,102482
1-2,True,0.5245716133204009,37116
1-0,False,0.5268233548643906,110538
0-0,False,0.5279571738150921,279642
1-1,False,0.5280012404458309,109638
2-1,True,0.5285359801488834,23374
1-1,True,0.5296808144395809,40666
0-1,False,0.5323397013209952,135731
0-1,True,0.5393102250021719,46044
