count_state,risp,succ,n
3-2,True,0.455359565807327,7370
3-1,False,0.46127988047808766,8032
3-2,False,0.4640117813094435,16297
2-0,False,0.4799646671484783,12453
2-1,False,0.4827840759293435,18965
1-0,True,0.48319799300191457,15147
3-0,False,0.48674101610904585,4035
3-1,True,0.48695652173913045,3795
2-0,True,0.4876597234377735,5713
1-0,False,0.4901306870560165,36882
0-0,True,0.49118257261410786,34704
2-1,True,0.4920854271356784,7960
2-2,False,0.4933037996251491,29345
1-1,True,0.49496547756041426,13904
2-2,True,0.49558886509635974,11675
0-0,False,0.495632046591503,93751
1-1,False,0.49591302926271047,36702
0-2,False,0.49635485287659203,22770
0-2,True,0.4980407028188598,7911
1-2,False,0.4990559020426847,34954
0-1,False,0.5059727894127667,45791
1-2,True,0.5062398263700488,12901
0-1,True,0.5078428912034132,15938
