season,count_state,succ,n
2019,0-0,0.5552045377035056,55711
2019,0-1,0.5532113517550411,26780
2019,0-2,0.5190869429728887,12836
2019,1-0,0.5652430177729416,22056
2019,1-1,0.5585369232900753,21653
2019,1-2,0.5344517675254643,20028
2019,2-0,0.5480508933405522,7388
2019,2-1,0.5588730397802782,11287
2019,2-2,0.5402891337836236,16878
2019,3-0,0.5223175965665237,2330
2019,3-1,0.5444928438083385,4821
2019,3-2,0.5370727254285425,9859
2020,0-0,0.5257606490872211,56695
2020,0-1,0.5365163308629102,26851
2020,0-2,0.5255670895809305,13005
2020,1-0,0.5302022066715322,23293
2020,1-1,0.5330759782417968,22796
2020,1-2,0.5341022355118895,21069
2020,2-0,0.5246043521266073,8088
2020,2-1,0.527009437032216,12292
2020,2-2,0.5251050652510506,18084
2020,3-0,0.5029563932002956,2706
2020,3-1,0.5045940371273204,5333
2020,3-2,0.4981241793284562,10662
2021,0-0,0.5157973386465523,56212
2021,0-1,0.5278396436525612,26491
2021,0-2,0.5162866449511401,12894
2021,1-0,0.5090286294244513,23647
2021,1-1,0.5152304432279711,22652
2021,1-2,0.5167956125746743,20422
2021,2-0,0.5043347589874003,8651
2021,2-1,0.5073337033219694,12613
2021,2-2,0.5103089903335755,17897
2021,3-0,0.48495096381467706,2957
2021,3-1,0.4817430244574578,5806
2021,3-2,0.4929449248975876,10985
2022,0-0,0.5062140637834363,56002
2022,0-1,0.5179384447277363,27455
2022,0-2,0.49985515643105444,13808
2022,1-0,0.500928063742134,22089
2022,1-1,0.5111372159219265,22133
2022,1-2,0.5096444780635401,21152
2022,2-0,0.4935496741587977,7519
2022,2-1,0.4974075050531681,11379
2022,2-2,0.5015682760165789,17854
2022,3-0,0.47339983374896094,2406
2022,3-1,0.4730761295646792,4847
2022,3-2,0.4745664739884393,10380
2023,0-0,0.5062337939118389,56306
2023,0-1,0.5157283551374394,27212
2023,0-2,0.5064117330876142,13023
2023,1-0,0.4991876344794274,22773
2023,1-1,0.5091884287347226,22746
2023,1-2,0.5083506321947537,21196
2023,2-0,0.49527752620002585,7729
2023,2-1,0.49755734039910576,12077
2023,2-2,0.49994573475146514,18428
2023,3-0,0.4957780458383595,2487
2023,3-1,0.48297213622291024,5168
2023,3-2,0.4645595661118384,10694
2024,0-0,0.4901629345647817,57385
2024,0-1,0.5087510803802938,27768
2024,0-2,0.49298233363591926,14321
2024,1-0,0.48367197273629264,23181
2024,1-1,0.4881783987103708,22332
2024,1-2,0.4995632384717944,21751
2024,2-0,0.4751131221719457,8177
2024,2-1,0.47777214334009466,11832
2024,2-2,0.4939621409921671,18384
2024,3-0,0.48757309941520466,2736
2024,3-1,0.46374593457049934,5227
2024,3-2,0.4590983370181678,10403
