count_state,platoon,succ,n
3-2,same_hand,0.4365355454464365,11211
3-1,same_hand,0.44412032816773017,5485
2-0,same_hand,0.45667365478686234,8586
2-1,same_hand,0.467109375,12800
1-0,same_hand,0.4710583580613254,25275
0-0,same_hand,0.47814853325771184,63474
1-1,same_hand,0.4832712248865846,24688
2-2,same_hand,0.4835247883917775,19848
3-2,opp_hand,0.4836223506743738,12456
3-1,opp_hand,0.4914853358561968,6342
1-2,same_hand,0.4918772944006076,23699
0-1,same_hand,0.4924473257698541,30850
0-2,same_hand,0.4959071865936191,15515
0-2,opp_hand,0.4976922062508242,15166
2-1,opp_hand,0.5022300884955753,14125
2-2,opp_hand,0.503731343283582,21172
1-0,opp_hand,0.5042236674889736,26754
2-0,opp_hand,0.5054279749478079,9580
1-1,opp_hand,0.5074465622347404,25918
1-2,opp_hand,0.5099354197714854,24156
0-0,opp_hand,0.510333789877041,64981
3-0,opp_hand,0.5118061944188899,3261
0-1,opp_hand,0.5204507918002526,30879
